WRN 2026-09-05T09:40:03.960 ui.4326    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:40:03.960 ui.4326    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:41:38.005 ui.5373    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:41:38.005 ui.5373    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:41:38.005 ui.5373    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T09:41:38.005 ui.5373    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:41:38.005 ui.5373    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:42:18.850 ui.5733    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:42:18.850 ui.5733    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:42:18.850 ui.5733    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T09:42:18.850 ui.5733    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:42:18.850 ui.5733    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:42:56.045 ui.5785    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:42:56.045 ui.5785    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T09:42:56.045 ui.5785    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T09:42:56.045 ui.5785    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T09:42:56.045 ui.5785    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T09:43:06.553 ui.5797    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T09:43:06.553 ui.5797    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
